date,query,user,label,tweet
"Oct 13, 2023 · 11:59 PM UTC",#freepalestine,@ifusaysooo,1,"I'll make nice pics ,Free Palestine ,IsraeliWarCrimes"
"Oct 18, 2023 · 9:53 PM UTC",#stophamas,@FreeIndepenent,1,"Do you realize that Hamas organization charter defines Hamas an entity to kill Jews, never settle for peace and conquer all the land from the “river to the sea?” How about Hamas/Gaza launching thousands of rockets at civilians the last 11 days (not the first time). #StopHamas"
"Oct 15, 2023 · 6:09 PM UTC",#indiastandswithpalestine,@IMMDUK,2,"I have planted the flag of Palestine with the tricolor, I stand with Palestine and will always stand with it.  - Barrister @asadowaisi #AIMIM #AsaduddinOwaisi #Palestine #IsraelPalestineConflict #PalestineLivesMatter #IndiaStandsWithPalestine #Yogi"
"Oct 8, 2023 · 10:05 PM UTC",#stophamas,@OLifeshield,0,DIRECT IMPACTS reported in Ashkelon just now - as rocket attacks continue to regularly terrorize and pulverize Southern Israel throughout this war.  #ashkelon #redalert #rocketattack #stophamas
"Oct 26, 2023 · 11:31 PM UTC",#hamasterrorists,@VTownGotSmoke,1,For every one you see there are ten more you don't see! #HamasTerrorists
"Oct 25, 2023 · 11:38 PM UTC",#standwithisrael,@wileywench,0,#StandWithIsrael
"Oct 14, 2023 · 11:16 PM UTC",#israelpalestinewar,@anonymouswave1,1,Reuters say the IDF has not responded to several requests asking for assurances Reuters journalists and offices in Gaza will not be targeted.  #IsraelPalestineWar #Israel
"Oct 7, 2023 · 11:23 PM UTC",#israelpalestinewar,@shockadelicaust,1,"""WHAT WAS BEFORE, WILL BE NO MORE"" will apply to Israel too  Do you think the entire Islamic Middle East will just sit by and passively watch Palestine be ""wiped off the map""?  #IsraelUnderAttack #IsraelPalestineWar #PalestineUnderAttack #hamasattack #Muslims"
"Oct 24, 2023 · 5:01 AM UTC",#indiastandswithpalestine,@Kattar_Adi,0,"We are against Hamas, not against the people of pelestine !! And we support Israel to counter terrorism !! #IndiaStandsWithPalestine ,IndiaStandWithIsrael"
"Oct 14, 2023 · 6:17 AM UTC",#stopisrael,@ishariff24,2,What Hamas did was terrorism but what Israel is doing and have been doing for years is Genocide!!!!  #FreePalaestine #StopGenocide #StopGazaNakba #StopIsrael
"Oct 21, 2023 · 11:57 PM UTC",#palestine,@IMRaXaAli,1,#Israel_under_attack #Palestine #PalestineSolidarityMarch #FreeGaza #FreePalestine_Now
"Oct 16, 2023 · 11:59 PM UTC",#israel,@truthfactspeace,0,"Hamas attacked #Israel first. If your family is attacked by another family and kill them, what do you do? Whoever attacks first deserve the hit back. USA started the #Iraq when they hit #NYC. Actually I think it is not Iraq hit the two towers in nyc."
"Oct 24, 2023 · 10:00 PM UTC",#hamasterrorists,@GLNoronha,1,BREAKING: Iranian proxy attacks on US forces in Iraq and Syria have left 24 U.S. servicemembers wounded. https://www.nbcnews.com/politics/national-security/drone-attacks-american-bases-injured-two-dozen-us-military-personnel-rcna121961
"Oct 18, 2023 · 4:27 PM UTC",#isupportisrael,@Xwallstwrkngirl,2,Extremely valid points.   #ISupportIsrael 🇮🇱
"Oct 20, 2023 · 8:55 PM UTC",#israelunderattack,@PsuLionInsider,1,Almost as nice as they treat an #Israeli or #Christian in a #Gaza tunnel. #PrayForIsrael #DestroyHamas #IsraelUnderAttack #IsraelFightsBack
"Oct 19, 2023 · 11:58 PM UTC",#israel,@layanslk9,1,"since every conversation this week is redirected to the condemnation of hamas , and a call for action regarding israeli hostages, which main stream media outlet will vouch for the release of these hostages? or are they LESS civilian?   #PalestineGenocide #israel"
"Oct 17, 2023 · 11:59 PM UTC",#israel,@ax_abodr,2,#Israel
"Oct 7, 2023 · 11:41 PM UTC",#hamasattack,@UKikaski,0,"Cleared for Press Release: IDF Colonel Yonatan Steinberg, commander of the 933rd Nahal Infantry Brigade, was killed in a battle during the clearing of Kibbutz Kerem Shalom. His family has been notified. #OSINT #Counteroffensive #UkraineRussiaWar #UkraineWar #Ukraine #HamasAttack #Israel #Hamas #Hezbollah #Palestijnen #Palestina #فلسطين #巴勒斯坦 #Stina #פלסטין #Палестина #terrorists"
"Oct 19, 2023 · 11:51 PM UTC",#hamas,@msfreund,0,"So you are proud of shilling for #Hamas and trying to protect them after they gang-raped #Israeli women, beheaded #Jewish babies, burnt alive families and kidnapped kids and the elderly? You are morally obscene and should seek professional help."
"Oct 9, 2023 · 11:51 PM UTC",#palestine,@happyhippy2015,1,How many Palestinian citizens were in the building that Israel bombed? #Palestine
"Oct 13, 2023 · 11:50 PM UTC",#israelpalestinewar,@HinduChanakya,0,This muslim from Pakistan makes more sense then most of muslims...i request every Muslim to hear this out. #IsraelFightsBack #HamasTerrorist #Muslim #IsraelPalestineWar #IndiaWithIsrael #hamasisis https://invidious.io.lol/xisU7I5pgeI?si=ZCaFvEeZYJH5aeR_
